project_path,project_id
gitlab-org/security-products/benchmark-suite/java-spring-mvn,16819248
gitlab-com/security-tools/investigitlab,10760227
gitlab-com/gl-security/abuse-team/abuse_team_issue_tracker,18734957
gitlab-com/gl-security/security-operations/gl-redteam/docksint,14329271
gitlab-org/secure/vulnerability-research/vet/rbtocast,17151529
gitlab-com/gl-security/security-department-meta,4501968
gitlab-org/security-products/benchmark-suite/nodejs-express-npm,16819131
gitlab-com/gl-security/security-operations/sirt/infrastructure,21274588
gitlab-com/gl-security/security-assurance/field-security-team/field-security-labs/security-answer-repository,19948814
gitlab-com/gl-security/security-operations/gl-redteam/gitlab_spray,20257422
gitlab-org/security-products/benchmark-suite/php-laravel-packagist,16819134
gitlab-com/security-tools/h1-gitlab,8548321
gitlab-com/gl-security/appsec/appsec-reviews,17011586
gitlab-org/secure/vulnerability-research/vet/schema,17050975
gitlab-com/gl-security/engineering-and-research/automation-team/security-pager,9182498
gitlab-org/secure/vulnerability-research/advisories/advgen4ds-workflow,21332563
gitlab-org/security-products/ci-templates,6168240
gitlab-com/security-awards,20469010
gitlab-com/gl-security/disclosures,15252595
gitlab-com/gl-security/security-assurance/field-security-team/field-security-labs/soconator,19948720
gitlab-com/gl-security/engineering-and-research/automation-team/terraform,19860620
gitlab-com/gl-security/security-operations/trust-and-safety/dmca/Abuse-DMCA-Legal,12844789
gitlab-com/gl-security/security-assurance/field-security-team/field-security-labs/4th-party-unvalidated-findings,20602513
gitlab-org/secure/vulnerability-research/advisories/semver_dialects,18026144
gitlab-org/security-products/analyzers/npm-audit,17450826
gitlab-org/security-products/release,5994307
gitlab-com/gl-security/security-operations/gl-redteam/red-team-operations/rt002,14720629
gitlab-org/secure/vulnerability-research/advisories/cves-workflow,18283598
gitlab-com/gl-security/security-operations/gl-redteam/red-team-operations/rt001-perimeter,14393176
gitlab-org/secure/vulnerability-research/vet/post-analyzer,21607123
gitlab-com/gl-security/security-operations/gl-redteam/red-team-research/knowledge-base,21369887
gitlab-com/gl-security/security-operations/trust-and-safety/group-ingestor,20671090
gitlab-org/secure/vulnerability-research/advisories/cves-dev-private,18284159
gitlab-org/security-products/sast-benchmark,16597098
gitlab-org/security-products/cwe-info,14235835
gitlab-com/gl-security/security-assurance/sec-compliance/observation-management,18824670
gitlab-com/gl-security/security-operations/trust-and-safety/gibberish-detection,20185698
gitlab-com/gl-security/security-operations/gl-redteam/autoAPT,21159290
gitlab-com/gl-security/security-operations/trust-and-safety/abuse-monitors,22541240
gitlab-com/gl-security/engineering-and-research/automation-team/h1-import,20774978
gitlab-org/security-products/gitlab-depscan,6802300
gitlab-com/gl-security/ctf-at-home,17964563
gitlab-org/cves,18741849
gitlab-com/gl-security/engineering-and-research/automation-team/appsec-escalator,17053917
gitlab-com/gl-security/security-operations/trust-and-safety/SD,12844708
gitlab-com/gl-security/security-operations/gl-redteam/gcp_firewall_enum,16204730
gitlab-com/customer-success/sa-triage-boards/commercial-triage,11435574
